s1,s2,s3,s4,s5,Total
90,83,82,80,81,500
99,99,91,81,80,500
96,85,92,80,95,500
90,82,91,89,89,500
98,96,86,88,81,500
81,87,84,96,81,500
86,84,88,93,99,500
93,84,93,81,82,500
90,93,93,89,89,500
99,89,93,83,90,500
82,86,97,87,94,500
94,84,96,98,99,500
90,88,88,80,87,500
96,99,90,89,90,500
81,86,92,91,92,500
83,98,94,86,93,500
90,85,89,82,83,500
87,97,82,84,80,500
98,83,94,98,91,500
97,95,81,92,94,500
92,91,90,92,88,500
88,94,85,81,92,500
94,82,96,96,97,500
99,97,98,99,82,500
81,81,85,94,84,500
99,85,86,83,81,500
92,81,93,90,89,500
87,99,89,82,94,500
92,96,81,90,84,500
90,83,90,95,83,500
91,92,83,91,93,500
82,89,87,91,82,500
99,80,85,92,82,500
87,96,85,84,82,500
82,98,82,83,84,500
81,83,96,86,94,500
81,99,85,97,82,500
96,84,82,85,86,500
89,93,97,82,80,500
82,84,94,80,96,500
90,89,92,90,97,500
84,99,97,92,84,500
84,98,97,98,91,500
84,94,81,95,81,500
83,98,93,85,92,500
89,94,93,82,87,500
87,87,89,80,83,500
96,99,83,94,92,500
83,80,98,80,95,500
81,88,80,94,88,500
94,89,92,80,80,500
99,80,94,93,89,500
96,98,91,98,91,500
98,84,80,89,96,500
98,95,82,99,88,500
97,83,88,87,80,500
99,86,81,99,84,500
95,98,96,99,91,500
85,92,95,90,92,500
89,90,91,84,94,500
85,94,99,83,85,500
86,96,84,81,81,500
82,85,88,84,99,500
83,99,86,93,86,500
95,82,93,84,90,500
97,88,83,82,93,500
94,92,80,93,97,500
94,80,81,87,85,500
95,93,92,83,94,500
83,86,98,81,92,500
93,89,88,84,85,500
84,84,81,92,97,500
87,82,85,86,84,500
92,95,97,98,90,500
94,90,97,95,98,500
99,95,87,88,87,500
86,92,94,81,98,500
97,87,95,83,89,500
96,95,91,86,88,500
84,86,84,92,88,500
96,94,84,85,81,500
82,81,82,87,82,500
92,82,88,83,96,500
81,87,94,97,88,500
86,86,89,80,98,500
82,85,99,88,88,500
96,82,95,80,80,500
87,94,96,86,93,500
95,89,92,92,95,500
81,87,90,85,94,500
80,85,86,89,99,500
92,86,97,94,85,500
80,92,86,90,85,500
97,98,88,89,87,500
94,88,92,80,88,500
80,93,87,88,87,500
93,82,93,84,80,500
80,85,85,98,85,500
98,80,99,93,80,500
81,89,98,82,97,500
96,80,96,81,98,500
86,80,96,96,88,500
81,85,96,89,91,500
97,97,90,87,94,500
